control_id,canonical_system,original_name,clinical_label,original_report_category,clinical_meaning,why_it_matters,functional_significance,low_interpretation,high_interpretation,pattern_links,recommendation_hint,pattern_cluster
M011,Cardiovascular & circulation,Left Ventricular Effective Pump Power,LV Pump Power,(Cardiovascular and Cerebrovascular) Analysis Report Card,Reflects the effective mechanical power generated by the left ventricle to sustain forward blood flow into systemic circulation.,This marker helps indicate whether the heart is generating adequate force to support circulation without excessive strain or inefficiency.,"Linked to myocardial contractility, ventricular energy production, afterload, perfusion support, and systemic circulatory demand.","Suggests reduced effective pump strength, weaker contractility, or reduced efficiency under afterload stress.","Indicates stronger effective output, provided it is not solely compensatory against excessive resistance or stress load.",Reduced perfusion + higher afterload can lower effective pump power; mitochondrial and oxygen supply constraints may also impair ventricular performance.,Support myocardial energy production and reduce circulatory resistance so pump power can be sustained efficiently.,"Cardiovascular, Pump Function, Energy, Oxygenation"
M012,Cardiovascular & circulation,Coronary Artery Elasticity,Coronary Artery Elasticity,(Cardiovascular and Cerebrovascular) Analysis Report Card,Reflects the structural flexibility and recoil quality of coronary arterial tissue supplying the heart muscle.,"Coronary elasticity influences myocardial perfusion reserve, blood flow responsiveness, and resilience against cardiovascular stress.","Closely linked to collagen-elastin quality, lipid oxidation, endothelial function, blood pressure regulation, and mineral balance.","Suggests reduced coronary compliance, vascular stiffness, oxidative-lipid injury, or impaired connective support in arterial walls.",May indicate better preserved coronary flexibility or context-dependent vascular reactivity.,"Inflammation, dyslipidaemia, and glycation can reduce coronary elasticity and increase myocardial strain; low magnesium and endothelial stress may worsen the pattern.",Protect arterial connective tissue and improve endothelial-lipid balance to preserve coronary flexibility.,"Connective Tissue, Cardiovascular, Vascular, Lipids"
M013,Cardiovascular & circulation,Coronary Perfusion Pressure,Coronary Perfusion Pressure,(Cardiovascular and Cerebrovascular) Analysis Report Card,Reflects the pressure gradient driving blood flow through the coronary circulation to nourish heart muscle tissue.,"Adequate coronary perfusion pressure is essential for delivering oxygen to the myocardium, especially during increased workload or stress.","Linked to aortic pressure, vascular tone, coronary flow dynamics, myocardial demand, and the adequacy of cardiac oxygen supply.",Suggests weaker coronary driving pressure and possible vulnerability to reduced myocardial oxygen supply.,"Generally indicates stronger perfusion pressure support, although it must be interpreted in the context of vascular condition and myocardial demand.",Low coronary perfusion pressure + high myocardial demand -> ischemic stress risk; vascular stiffness and endothelial dysfunction may impair effective coronary flow despite pressure changes.,Support coronary-flow dynamics and reduce the mismatch between myocardial demand and blood-supply pressure.,"Cardiovascular, Coronary Flow, Oxygenation, Perfusion"
M014,Cardiovascular & circulation,Cerebral Blood Vessel Elasticity,Cerebral Blood Vessel Elasticity,(Cardiovascular and Cerebrovascular) Analysis Report Card,"Reflects the compliance and recoil of cerebral vessels, indicating how well connective tissue within brain circulation can adapt to flow and pressure changes.","Cerebrovascular elasticity is important for stable perfusion, oxygen delivery, and protection against pressure-related strain on neural tissue.","Interacts with vascular collagen-elastin integrity, blood viscosity, oxidative stress, magnesium status, and endothelial regulation.","Suggests stiffer cerebral vessels, impaired microvascular adaptability, oxidative burden, or connective tissue decline affecting brain circulation.",May indicate preserved vascular adaptability or reactive flow changes that require broader circulatory context.,"High blood sugar, oxidative stress, and vascular inflammation can reduce cerebral vessel elasticity and contribute to headaches, brain fog, or perfusion instability.",Support cerebrovascular connective tissue quality and reduce vascular stressors that impair cerebral perfusion adaptability.,"Connective Tissue, Vascular, Nervous System, Cardiovascular"
M015,Cardiovascular & circulation,Brain Tissue Blood Supply Status,Brain Tissue Blood Supply Status,(Cardiovascular and Cerebrovascular) Analysis Report Card,"Reflects the adequacy of cerebral perfusion reaching brain tissue, indicating how well oxygen and nutrients are being delivered to support neural metabolism.","The brain is highly dependent on uninterrupted blood flow, so this marker is relevant to cognition, concentration, autonomic regulation, and fatigue patterns.","Linked to vascular elasticity, blood viscosity, oxygen transport, microcirculation, endothelial function, and mitochondrial support within neural tissue.","Suggests reduced cerebral perfusion, weaker microcirculation, or impaired oxygen delivery that may contribute to brain fog, headaches, and reduced mental stamina.",Indicates stronger cerebral blood supply and more effective support of neuronal metabolic demand.,"High viscosity + poor vascular compliance -> reduced cerebral blood supply; low perfusion can amplify fatigue, poor concentration, and autonomic instability.","Improve cerebral circulation, blood-flow quality, and oxygen delivery to support neural resilience and cognitive performance.","Circulation, Brain, Oxygenation, Nervous System"
M016,Upper digestive function,Pepsin Secretion Coefficient,Pepsin Secretion Coefficient,(Gastrointestinal Function) Analysis Report Card,"Reflects gastric proteolytic capacity through pepsin secretion and activation, indicating how effectively the stomach can initiate protein digestion after adequate hydrochloric acid exposure.","Pepsin activity is essential for early-stage protein breakdown, liberation of amino acids, and preparation of nutrients for downstream pancreatic and intestinal digestion. Weak function can contribute to putrefaction, bloating, and poor protein assimilation.","Depends on sufficient gastric acidification, mucosal secretory integrity, vagal stimulation, and coordinated gastric phase digestion. It also influences antigen load reaching the intestine and subsequent immune activation.","Suggests impaired gastric protein digestion, often associated with hypochlorhydria, mucosal insufficiency, chronic stress, ageing, or reduced vagal tone.","May indicate increased proteolytic demand, irritative gastric stimulation, or compensatory secretory activation in response to dietary load or mucosal stress.","Low hydrochloric acid → poor pepsin activation → incomplete protein digestion → intestinal fermentation/putrefaction → dysbiosis, bloating, and increased antigenic burden; this can secondarily increase hepatic detox and immune load.","Support gastric secretory phase digestion, restore acid-pepsin activation, improve protein meal handling, and reduce downstream microbial fermentation from incomplete protein breakdown.","Digestive, Upper GI, Absorption, Immune"
M017,Upper digestive function,Gastric Peristalsis Function Coefficient,Gastric Peristalsis Function Coefficient,(Gastrointestinal Function) Analysis Report Card,"Reflects the motor efficiency of the stomach, including churning, mixing, and regulated emptying of gastric contents into the duodenum.","Effective gastric motility is required for mechanical breakdown of food, proper contact with acid and enzymes, and timely gastric emptying. Dysfunction contributes to fullness, reflux tendency, nausea, and upper abdominal distension.","Regulated by vagal tone, smooth muscle function, electrolyte balance, and pyloric coordination. It interfaces with reflux patterns, pancreatic timing, and small intestinal digestive readiness.","Suggests sluggish gastric emptying, impaired motility, reduced vagal drive, smooth muscle dysfunction, or stress-related digestive suppression.","May indicate irritative motility, spasm tendency, accelerated emptying, or sympathetic-autonomic dysregulation affecting the gastric rhythm.","Low vagal tone or stress → reduced gastric motility → prolonged food retention → fermentation, reflux, and bloating; poor gastric emptying can also disturb pancreatic and biliary timing, worsening downstream digestion.","Support vagal activation, improve gastric motor coordination, and reduce meal patterns or stressors that impair upper digestive motility.","Digestive, Upper GI, Nervous System"
M018,Upper digestive function,Gastric Absorption Function Coefficient,Gastric Absorption Function Coefficient,(Gastrointestinal Function) Analysis Report Card,"Reflects the stomach’s limited but important absorptive and transport role, including handling of water, alcohol, certain medications, and support functions linked to intrinsic factor-dependent B12 assimilation downstream.","Although the stomach is not the primary absorptive organ, impaired gastric mucosal integrity can signal wider dysfunction in secretory and barrier roles that compromise nutrient handling and increase inflammatory sensitivity.","Closely linked to parietal cell function, intrinsic factor production, mucosal integrity, acid secretion, and the quality of transition into duodenal digestion and absorption.","Suggests gastric mucosal compromise, reduced intrinsic factor/parietal cell support, poor secretory integrity, or inflammatory impairment of the gastric lining.","May indicate altered permeability, irritative mucosal reactivity, or heightened exposure to compounds rapidly handled at the gastric level.","Parietal cell dysfunction → low acid and low intrinsic factor → impaired B12 status → fatigue, neuropathy, and methylation compromise; mucosal injury can also increase sensitivity to reflux, gastritis, and upper GI inflammation.","Restore gastric mucosal integrity, support parietal cell function, and improve upstream conditions required for efficient acid, intrinsic factor, and nutrient handling.","Digestive, Upper GI, Nutrient Status, Nervous System"
M019,Upper digestive function,Small Intestine Peristalsis Function Coefficient,Small Intestine Motility,(Gastrointestinal Function) Analysis Report Card,"Reflects coordinated small bowel motility, including segmental mixing and propulsive movement required for digestion, nutrient contact, and microbial regulation.","Adequate small intestinal motility prevents stasis, supports enzyme-substrate contact, and helps protect against bacterial overgrowth. Dysfunction is strongly linked to bloating, malabsorption, and SIBO-type presentations.","Depends on enteric nervous system signalling, vagal modulation, electrolyte balance, thyroid status, and smooth muscle responsiveness. It strongly influences transit time and absorptive efficiency.","Suggests stagnation, impaired migrating motor complex activity, autonomic dysfunction, hypothyroid tendency, or post-inflammatory motility suppression.","May indicate hypermotility, irritative bowel response, reduced contact time for absorption, or stress-mediated acceleration of transit.","Reduced small bowel motility → stasis → bacterial overgrowth → fermentation gases, mucosal irritation, and malabsorption; hypermotility can shorten nutrient contact time and contribute to loose stools and depletion.","Normalise small bowel motility, support autonomic-enteric coordination, and address factors driving stasis, overgrowth, or excessively rapid transit.","Digestive, Gut, Motility, Absorption"
M020,Upper digestive function,Small Intestine Absorption Function Coefficient,Small Intestine Absorption,(Gastrointestinal Function) Analysis Report Card,"Reflects absorptive efficiency of the small intestine across macronutrients, micronutrients, electrolytes, and water-soluble compounds, indicating the functional quality of villous and mucosal transport processes.","The small intestine is the main site of nutrient assimilation. Impaired function can produce broad downstream effects including fatigue, deficiency states, immune dysregulation, poor repair, and endocrine compromise.","Depends on villous integrity, brush border enzyme activity, bile and pancreatic support, mucosal permeability control, and healthy interaction with the microbiome.","Suggests malabsorption, villous or brush-border compromise, inflammatory mucosal injury, pancreatic-biliary insufficiency, or dysbiosis-related impairment.","May indicate altered permeability patterns, compensatory absorptive drive, or measurement context requiring correlation with inflammation and barrier status.","Low bile or pancreatic enzyme output → incomplete breakdown → poor absorption; intestinal inflammation or permeability → nutrient deficiency + immune activation; malabsorption can secondarily impair thyroid, adrenal, mitochondrial, and detox pathways.","Improve digestive breakdown upstream, restore mucosal integrity, support bile-pancreatic synergy, and reduce inflammatory or dysbiotic barriers to nutrient uptake.","Digestive, Gut, Absorption, Immune, Metabolic"
M021,Lower digestive function,Large intestine peristalsis function coefficient,Colon Motility,(Large Intestine Function) Analysis Report Card,"Reflects colonic motility and propulsive function, including transit dynamics required for stool formation, waste movement, and timely elimination.","Healthy colonic transit reduces toxin reabsorption, supports microbiome balance, and prevents stagnation-associated constipation, bloating, and inflammatory burden.","Influenced by hydration status, magnesium and electrolyte balance, autonomic tone, fibre-fermentation dynamics, thyroid function, and pelvic floor or smooth muscle coordination.","Suggests sluggish transit, constipation tendency, autonomic suppression, dehydration, low magnesium status, or hypothyroid-associated bowel slowing.","May indicate irritative motility, stress-driven urgency, inflammatory bowel reactivity, or reduced stool contact time.",Slow colonic transit → prolonged toxin and oestrogen metabolite contact → reabsorption and hepatic burden; constipation also shifts microbial ecology toward dysbiosis and inflammatory metabolite production.,"Improve bowel motility, support hydration and mineral status, and reduce factors promoting stagnation, constipation, and colonic recirculation of wastes.","Digestive, Lower GI, Detox, Hormones"
M022,Lower digestive function,Colonic absorption coefficient,Colon Absorption,(Large Intestine Function) Analysis Report Card,"Reflects absorptive activity of the colon, particularly water, electrolytes, and microbiome-derived metabolites such as short-chain fatty acids.","Balanced colonic absorption is important for stool consistency, mucosal energy supply, electrolyte stability, and maintenance of a favourable microbial environment.","Closely tied to microbiome fermentation quality, mucosal integrity, transit time, inflammation, and hydration-electrolyte regulation.","Suggests impaired fluid/electrolyte reclamation, mucosal irritation, dysbiosis, poor short-chain fatty acid support, or inflammatory compromise of the colonic lining.","May indicate excessive fluid reabsorption, slow transit, constipation tendency, or compensatory response to altered luminal conditions.",Slow transit + excessive fluid reabsorption → dry stools and constipation; dysbiosis → reduced butyrate production → weaker mucosal repair and higher inflammatory susceptibility.,"Support colonic mucosal health, improve microbiome-derived short-chain fatty acid production, and normalise transit-fluid balance.","Digestive, Lower GI, Microbiome, Absorption"
M023,Lower digestive function,Intestinal bacteria coefficient,Gut Microbiome,(Large Intestine Function) Analysis Report Card,"Reflects the functional state and relative balance of intestinal microbial ecology, including commensal support, fermentative activity, and microbial pressure within the gut lumen.","The intestinal microbiome shapes digestion, vitamin production, immune education, barrier integrity, oestrogen metabolism, and inflammatory signalling throughout the body.","Interacts directly with bile acids, fibre fermentation, mucosal immunity, short-chain fatty acid generation, endotoxin production, and enterohepatic circulation.","Suggests reduced microbial diversity or beneficial flora support, often associated with antimicrobial exposure, low fibre intake, poor bile flow, or chronic stress.","May indicate overgrowth, fermentative excess, dysbiosis, endotoxin burden, or increased opportunistic microbial pressure.","Dysbiosis → impaired barrier function → endotoxin translocation → hepatic and immune activation; altered beta-glucuronidase activity → oestrogen recirculation; microbial imbalance also influences mood, skin, and metabolic signalling.","Rebalance microbial ecology, improve the digestive terrain that supports beneficial flora, and reduce drivers of fermentation, overgrowth, and endotoxin production.","Gut, Microbiome, Immune, Detox, Hormones"
M024,Lower digestive function,Intraluminal pressure coefficient,Intraluminal pressure coefficient,(Large Intestine Function) Analysis Report Card,"Reflects pressure dynamics within the intestinal lumen, influenced by gas production, motility coordination, stool transit, muscular tone, and bowel distension patterns.","Abnormal intraluminal pressure is commonly associated with bloating, pain, altered transit, spasm, constipation, and fermentative bowel states.","Links mechanical bowel function with motility, microbial gas generation, stool burden, visceral sensitivity, and autonomic regulation of the gut.","May suggest reduced bowel tone, weak propulsive activity, low gas pressure, or functional slowing of intestinal transit.","Suggests bowel distension, trapped gas, constipation, spasm, fermentation excess, or inflammatory-irritative pressure states.","Poor motility + dysbiosis → fermentation gas accumulation → raised luminal pressure → bloating, discomfort, and altered peristalsis; chronic stool retention can further increase pressure and toxin reabsorption.","Reduce fermentative load, normalise motility and transit, and relieve mechanical pressure contributors such as gas retention, spasm, and constipation.","Digestive, Lower GI, Motility, Microbiome"
M025,Liver function,Protein Metabolism,Protein Metabolism,(Liver Function) Analysis Report Card,"Represents the liver’s role in processing, transforming, and regulating amino acid metabolism and nitrogen balance.","The liver is central to protein metabolism, influencing tissue repair, enzyme production, and detoxification through the urea cycle.","Linked to amino acid turnover, hepatic enzyme activity, urea cycle function, and systemic nitrogen balance.","Suggests reduced hepatic processing of amino acids, potentially affecting repair, detoxification, and metabolic stability.","Indicates increased protein turnover or metabolic demand, which may reflect inflammation or compensatory hepatic activity.",Inflammation + metabolic stress -> increased amino acid turnover -> altered hepatic protein metabolism.,"Interpret alongside BUN, liver enzymes, and systemic inflammation markers.","Liver, Protein Metabolism, Nitrogen Balance"
M026,Liver function,Energy Production  Function,Energy Production Function,(Liver Function) Analysis Report Card,"Reflects hepatic contribution to systemic energy production through glucose regulation, glycogen storage, and metabolic processing.","The liver plays a central role in maintaining energy stability via gluconeogenesis, glycogen storage, and metabolic flexibility.","Linked to mitochondrial function, glucose regulation, glycogen dynamics, and hepatic metabolic pathways.","Suggests reduced hepatic energy contribution, potentially leading to fatigue, poor metabolic stability, and impaired glucose regulation.",Indicates increased metabolic demand or compensatory hepatic activity in response to systemic energy needs.,Insulin resistance + mitochondrial dysfunction -> impaired hepatic energy regulation -> metabolic instability.,"Assess alongside glucose markers, mitochondrial indicators, and insulin dynamics.","Liver, Energy Metabolism, Glucose Regulation"
M027,Liver function,Detoxification Function,Detoxification Function,(Liver Function) Analysis Report Card,Represents the liver’s integrated capacity to process and eliminate endogenous and exogenous toxins.,"Hepatic detoxification is essential for clearing hormones, metabolic waste, and environmental toxins, influencing systemic health.","Linked to Phase I and Phase II pathways, glutathione status, and hepatobiliary excretion.","Suggests reduced detox capacity, leading to accumulation of toxins and increased systemic burden.",Indicates increased detox demand or compensatory upregulation in response to toxic exposure.,Toxin exposure + nutrient depletion -> impaired detox pathways -> increased oxidative and inflammatory stress.,Support detox pathways alongside antioxidant systems and elimination routes.,"Liver, Detoxification, Oxidative Stress"
M028,Liver function,Bile Secretion Function,Bile Secretion Function,(Liver Function) Analysis Report Card,Reflects the liver’s ability to produce and regulate bile flow for digestion and elimination.,"Bile is critical for fat digestion, cholesterol metabolism, and toxin excretion.","Linked to hepatobiliary flow, gallbladder function, and fat-soluble nutrient absorption.","Suggests reduced bile production or flow, leading to impaired fat digestion and toxin clearance.",Indicates increased bile activity or compensatory secretion under metabolic demand.,Liver congestion + impaired flow -> fat malabsorption and toxin recirculation.,Assess alongside gallbladder markers and fat digestion symptoms.,"Liver, Bile, Fat Metabolism"
M029,Liver function,Liver Fat Content,Liver Fat Content,(Liver Function) Analysis Report Card,Represents the degree of lipid accumulation within hepatic tissue.,"Excess liver fat impairs metabolic regulation, insulin sensitivity, and detoxification capacity.","Linked to insulin resistance, lipid metabolism, and mitochondrial function.",Suggests low hepatic fat burden and preserved metabolic function.,"Indicates increased fat accumulation, often associated with metabolic syndrome or NAFLD.",High carbohydrate intake + insulin resistance -> hepatic fat accumulation -> metabolic dysfunction.,"Assess alongside insulin, triglycerides, and metabolic markers.","Liver, Fat Metabolism, Insulin Resistance"
M030,Gallbladder & bile flow,Serum Globulin (A/G),Serum Globulin (A/G),(Gallbladder Function) Analysis Report Card,"Reflects the albumin-to-globulin relationship within the source gallbladder-bile-flow cluster, functioning as a broad marker of protein balance, hepatic synthetic context, immune burden, and chronic inflammatory load rather than a bile-specific analyte alone.","The albumin-globulin relationship matters because it can help reveal whether liver synthetic function, protein status, immune activation, or chronic inflammatory burden is altering the terrain in which bile production and hepatobiliary flow occur.","Linked to hepatic protein synthesis, chronic inflammation, immune activation, gut-derived antigenic burden, nutritional protein status, and the liver's broader metabolic and detoxification workload.","A relatively lower globulin burden or more favourable A/G balance may suggest less chronic inflammatory-immune loading and better preserved hepatic protein balance, although interpretation depends on absolute albumin and globulin values.","An unfavourable A/G pattern may indicate chronic inflammatory burden, immune activation, impaired hepatic synthetic balance, or protein-handling stress that indirectly affects bile quality and hepatobiliary resilience.","Gut-derived inflammation + chronic immune activation + liver synthetic strain -> altered A/G balance; when this occurs alongside bile stagnation or raised bilirubin markers, the wider hepatobiliary picture becomes more significant.","Interpret as a context marker of hepatic-protein and immune-inflammatory balance, especially when assessing whether bile-flow abnormalities are occurring in a chronically inflamed metabolic terrain.","Liver, Immune, Inflammation, Protein Balance, Gallbladder"
