Obesity and weight patterns,Triglyceride content of abnormal coefficient,Triglycerides,Reflects circulating fat levels,Linked to metabolic health,Indicates lipid overload or imbalance,Low energy reserves,Metabolic dysfunction and fat accumulation,Links to liver fat and insulin,Dietary fat balance
Obesity and weight patterns,Brown adipose tissue abnormalities coefficient,Brown Fat Function,Represents metabolic fat-burning activity,Important for energy regulation,Indicates metabolic efficiency,Reduced metabolic activity,Compensatory fat storage,Links to thyroid and metabolism,Cold exposure and metabolism support
Obesity and weight patterns,Abnormal lipid metabolism coefficient,Lipid Metabolism,Indicates efficiency of fat metabolism,Central to weight regulation,Reflects metabolic flexibility,Poor fat utilisation,Lipid accumulation,Links to liver and cardiovascular system,Metabolic reset
Liver & metabolic function,Liver Fat Content,Liver Fat,Reflects fat accumulation in liver,Indicator of metabolic stress,Shows hepatic burden or efficiency,Reduced reserves or malnutrition,Fatty liver tendencies,Links to triglycerides and insulin,Detox and liver support
Gallbladder & bile flow,Serum Total Bile Acid (TBA),Bile Acids,Indicates bile production and flow,Essential for fat digestion,Reflects liver and gallbladder function,Reduced bile flow,Bile congestion,Links to digestion and lipid metabolism,Bile support
Gallbladder & bile flow,Bilirubin (DBIL),Bilirubin,Reflects liver detox and bile excretion,Indicator of liver function,Shows detoxification efficiency,Reduced detox capacity,Bile obstruction or overload,Links to liver and gallbladder,Support liver clearance
Kidney & fluid balance,Uric acid Index,Uric Acid,Reflects purine metabolism and renal clearance,Linked to metabolic health and inflammation,Indicates detoxification load and kidney function,Reduced metabolic activity or low turnover,Increased metabolic waste or impaired clearance,Links to inflammation and liver function,Hydration and reduce purine load
Kidney & fluid balance,Urobilinogen Index,Urobilinogen,Marker of liver processing and kidney excretion,Reflects detoxification pathways,Indicates balance between liver and kidney clearance,Reduced detox throughput,Increased burden or impaired clearance,Links to liver function and bile flow,Support liver and hydration
Kidney & fluid balance,Proteinuria Index,Urinary Protein,Indicates protein leakage into urine,Marker of kidney filtration integrity,Reflects renal stress or permeability,Reduced filtration activity,Increased kidney strain or permeability,Links to cardiovascular and metabolic health,Reduce inflammatory load
Kidney & fluid balance,Blood urea nitrogen(BUN) Index,BUN,Reflects protein metabolism and renal clearance,Indicator of kidney workload,Shows balance between intake and elimination,Low protein turnover or intake,High metabolic load or kidney strain,Links to protein metabolism and hydration,Optimise protein intake
Lung function,Total Lung Capacity TLC,Lung Capacity,Measures total air capacity of lungs,Essential for oxygen delivery,Reflects respiratory efficiency,Reduced lung expansion or capacity,Compensatory breathing effort,Links to oxygenation and energy production,Breathwork and aerobic activity
Lung function,Vital Capacity VC,Vital Capacity,Amount of air exhaled after full inhalation,Key measure of lung strength,Indicates respiratory resilience,Reduced lung strength,Increased respiratory demand,Links to oxygenation and cardiovascular health,Respiratory training
Lung function,Airway Resistance RAM,Airway Resistance,Measures resistance to airflow,Reflects airway openness,Indicates inflammation or constriction,Reduced resistance (rarely significant),Increased airway constriction,Links to inflammation and allergy,Anti-inflammatory support
Lung function,Arterial Oxygen Content PaCO2,Oxygen Exchange,Reflects gas exchange efficiency,Critical for cellular energy,Indicates oxygen delivery to tissues,Reduced oxygenation,Compensatory respiratory stress,Links to mitochondria and cardiovascular system,Oxygenation strategies
Neurological function,Memory Index(ZS),Memory Function,Represents cognitive processing and recall ability,Important for neurological health,Indicates brain performance and resilience,Reduced cognitive efficiency,Compensatory neural strain,Links to circulation and micronutrients,Support brain nutrients
Neurological function,Status of Brain Tissue Blood Supply,Brain Blood Flow,Measures blood supply to brain tissue,Essential for cognitive performance,Reflects vascular support to brain,Reduced perfusion,Compensatory vascular pressure,Links to cardiovascular system,Improve circulation
Neurological function,Cerebral Arteriosclerosis,Brain Vessel Health,Indicates stiffness of brain blood vessels,Linked to ageing and vascular health,Reflects long-term vascular condition,Reduced tone,Increased stiffness and risk,Links to cardiovascular markers,Vascular support
Neurological function,Functional Status of Cranial Nerve,Cranial Nerve Function,Reflects nerve signalling efficiency,Important for coordination and sensory input,Indicates neurological integrity,Reduced nerve activity,Overstimulation or compensation,Links to mineral status,Nerve support nutrients
Neurological function,Sentiment Index,Emotional Balance,Represents emotional and neurological stability,Linked to stress and resilience,Indicates neurochemical balance,Reduced emotional drive,Heightened stress or instability,Links to adrenal and neurotransmitters,Stress regulation
Endocrine system,Adrenal glands Index,Adrenal Function,Reflects adrenal gland activity,Key for stress response,Indicates cortisol regulation and resilience,Adrenal fatigue or low output,Chronic stress activation,Links to nervous system and energy,Adaptogens
Endocrine system,Parathyroid hormone secretion index,Parathyroid Function,Regulates calcium balance,Important for bone and nerve health,Indicates mineral regulation,Reduced calcium mobilisation,Excess calcium release,Links to bone density and vitamin D,Mineral balance
Endocrine system,Pituitary secretion index,Pituitary Function,Master gland controlling endocrine system,Coordinates hormone signalling,Reflects systemic hormonal control,Reduced signalling,Overactivation of endocrine pathways,Links to thyroid and adrenal systems,Hormonal regulation
Endocrine system,Pineal secretion index,Pineal Function,Regulates circadian rhythm and melatonin,Important for sleep and recovery,Indicates sleep-wake cycle balance,Reduced melatonin output,Circadian disruption,Links to nervous system and stress,Improve sleep hygiene
Endocrine system,Thymus gland secretion index,Thymus Function,Supports immune development,Important for immune resilience,Reflects immune-endocrine connection,Reduced immune support,Immune overactivation,Links to immune system,Immune modulation
Endocrine system,Gland secretion index,Overall Endocrine Activity,Represents global hormonal activity,Indicates endocrine system balance,Shows overall hormonal coordination,Reduced systemic signalling,Overactivation or imbalance,Links to all endocrine markers,Systemic regulation
Thyroid-related markers,Free thyroxine (FT4),Free T4,Primary thyroid hormone output,Controls metabolic rate,Indicates thyroid production,Reduced thyroid output,Overactive thyroid signalling,Links to metabolism and energy,Thyroid support
Thyroid-related markers,Three triiodothyronine (T3),T3 Active Hormone,Active thyroid hormone at cellular level,Drives metabolism and energy,Indicates conversion efficiency,Reduced conversion or utilisation,Hypermetabolic state,Links to mitochondria and liver,Support conversion
Thyroid-related markers,Thyroglobulin,Thyroglobulin,Protein involved in thyroid hormone production,Marker of thyroid activity,Indicates glandular stress or turnover,Reduced thyroid activity,Increased thyroid stress or inflammation,Links to autoimmune patterns,Reduce inflammation
Thyroid-related markers,Anti-thyroglobulin antibodies,Thyroid Antibodies,Indicates autoimmune activity against thyroid,Key for detecting immune involvement,Reflects autoimmune stress,Reduced immune activation,Elevated autoimmune activity,Links to immune and gut,Immune modulation
Vitamin status,Vitamin A,Vitamin A,Supports vision, immune function, and epithelial integrity,Essential for immune defence and tissue repair,Reflects nutrient sufficiency and barrier health,Deficiency may impair immunity and skin integrity,Excess may indicate imbalance or over-supplementation,Links to skin and immune system,Support with whole-food vitamin A sources
Vitamin status,Vitamin B1,Vitamin B1,Key cofactor in energy metabolism and nerve function,Essential for carbohydrate metabolism and neurological health,Reflects metabolic energy production,Low levels may contribute to fatigue and nerve dysfunction,High levels are uncommon but may reflect supplementation,Links to nervous system and energy metabolism,Support mitochondrial energy
Vitamin status,Vitamin B2,Vitamin B2,Involved in redox reactions and cellular energy,Supports mitochondrial function,Reflects oxidative metabolism,Low levels may reduce energy efficiency,Elevated levels may reflect supplementation,Links to coenzymes and energy production,Support metabolic pathways
Vitamin status,Vitamin B3,Vitamin B3,Precursor for NAD/NADH, central to cellular energy,Key for metabolic and DNA repair processes,Reflects cellular energy turnover,Low levels may reduce metabolic resilience,High levels may reflect supplementation or demand,Links to coenzyme and mitochondrial function,Support NAD pathways
Vitamin status,Vitamin B6,Vitamin B6,Involved in amino acid metabolism and neurotransmitter synthesis,Supports mood, detox, and metabolism,Reflects protein metabolism and nervous system health,Low levels may impair neurotransmitter balance,High levels may indicate excess intake,Links to amino acids and nervous system,Support neurotransmitter balance
Vitamin status,Vitamin B12,Vitamin B12,Essential for red blood cell formation and nerve health,Supports oxygen transport and cognition,Reflects neurological and hematological health,Low levels may cause fatigue and neurological symptoms,High levels may reflect supplementation,Links to energy and brain function,Support methylation
Vitamin status,Vitamin C,Vitamin C,Powerful antioxidant supporting immunity and collagen,Essential for immune defence and repair,Reflects antioxidant capacity,Low levels may increase oxidative stress,High levels may reflect supplementation,Links to immune and skin systems,Increase antioxidant intake
Vitamin status,Vitamin D3,Vitamin D3,Regulates immune function and calcium metabolism,Important for bone and immune health,Reflects hormonal and immune balance,Low levels may impair immunity and bone health,High levels may indicate supplementation,Links to endocrine and bone systems,Sunlight and supplementation
Vitamin status,Vitamin E,Vitamin E,Protects cell membranes from oxidative damage,Key antioxidant for cardiovascular health,Reflects lipid protection,Low levels may increase oxidative stress,High levels may reflect supplementation,Links to cardiovascular and skin systems,Support antioxidant defence
Vitamin status,Vitamin K,Vitamin K,Essential for blood clotting and calcium regulation,Important for bone and cardiovascular health,Reflects mineral regulation,Low levels may impair clotting and bone health,High levels are uncommon,Links to bone and cardiovascular systems,Support with leafy greens
Trace elements,Iron,Iron,Essential for oxygen transport and energy production,Key for hemoglobin and mitochondrial function,Reflects oxygen-carrying capacity,Low levels may cause fatigue and anemia,High levels may increase oxidative stress,Links to energy and cardiovascular systems,Optimise iron balance
Trace elements,Zinc,Zinc,Supports immune function and enzyme activity,Essential for healing and hormone balance,Reflects immune resilience,Low levels may impair immunity and repair,High levels may disrupt mineral balance,Links to immune and endocrine systems,Support immune health
Trace elements,Copper,Copper,Involved in iron metabolism and antioxidant systems,Supports energy and connective tissue,Reflects oxidative balance,Low levels may impair iron utilisation,High levels may increase oxidative stress,Links to iron and cardiovascular systems,Balance copper and zinc
Trace elements,Magnesium,Magnesium,Key cofactor in energy production and relaxation,Supports nervous system and muscle function,Reflects stress resilience,Low levels may increase stress and tension,High levels may reflect supplementation,Links to nervous system and energy,Support relaxation
Trace elements,Calcium,Calcium,Essential for bone structure and signalling,Supports skeletal and muscular function,Reflects mineral balance,Low levels may impair bone health,High levels may indicate imbalance,Links to vitamin D and parathyroid,Balance calcium intake
Trace elements,Selenium,Selenium,Supports antioxidant enzymes and thyroid function,Important for detox and immunity,Reflects oxidative defence,Low levels may impair detoxification,High levels may be toxic,Links to thyroid and immune system,Support antioxidant enzymes
Trace elements,Silicon,Silicon,Supports connective tissue and structural integrity,Important for skin and bone health,Reflects tissue support,Low levels may impair structural integrity,High levels uncommon,Links to skin and bone systems,Support connective tissue
Amino acids,Lysine,Lysine,Essential amino acid for protein synthesis and immunity,Supports tissue repair and immune function,Reflects protein status,Low levels may impair healing,High levels uncommon,Links to immune and collagen,Support protein intake
Amino acids,Isoleucine,Isoleucine,Branched-chain amino acid for muscle metabolism,Supports energy and recovery,Reflects metabolic resilience,Low levels may impair recovery,High levels may reflect supplementation,Links to energy and muscle metabolism,Support protein metabolism
Amino acids,Leucine,Leucine,Key regulator of muscle protein synthesis,Supports growth and repair,Reflects anabolic activity,Low levels may impair muscle maintenance,High levels may reflect supplementation,Links to metabolism and recovery,Support muscle repair
Amino acids,Valine,Valine,Supports muscle metabolism and energy production,Important for endurance and recovery,Reflects metabolic support,Low levels may impair energy production,High levels may reflect supplementation,Links to BCAAs and energy,Support endurance
Amino acids,Tryptophan,Tryptophan,Precursor to serotonin and melatonin,Supports mood and sleep,Reflects neurotransmitter balance,Low levels may impair mood and sleep,High levels uncommon,Links to nervous system and sleep,Support serotonin pathways
Coenzyme status,Coenzyme Q10,CoQ10,Essential for mitochondrial energy production,Supports cardiovascular and cellular energy,Reflects mitochondrial efficiency,Low levels may reduce energy production,High levels may reflect supplementation,Links to cardiovascular system,Support mitochondria
Coenzyme status,Biotin,Biotin,Supports metabolism of fats and carbohydrates,Important for skin and energy,Reflects metabolic activity,Low levels may impair metabolism,High levels uncommon,Links to energy and skin,Support metabolism
Coenzyme status,Pantothenic acid,Vitamin B5,Key cofactor in energy metabolism and hormone synthesis,Supports adrenal function,Reflects stress and metabolic demand,Low levels may impair energy and stress resilience,High levels uncommon,Links to adrenal and energy systems,Support stress resilience
Coenzyme status,Glutathione,Glutathione,Primary intracellular antioxidant,Crucial for detoxification and oxidative balance,Reflects detox capacity,Low levels may impair detox and increase oxidative stress,High levels reflect strong antioxidant capacity,Links to liver and immune system,Support detox pathways
Essential fatty acids,Linoleic acid,Omega-6,Essential fatty acid for cell membrane integrity,Supports inflammation balance,Reflects dietary fat intake,Low levels may impair membrane function,High levels may promote inflammation,Links to skin and inflammation,Balance omega intake
Essential fatty acids,α-Linolenic acid,Omega-3 precursor,Precursor to anti-inflammatory fatty acids,Supports cardiovascular and brain health,Reflects anti-inflammatory capacity,Low levels may increase inflammation,High levels beneficial,Links to cardiovascular and brain,Increase omega-3 intake
Essential fatty acids,γ-Linolenic acid,GLA,Supports anti-inflammatory pathways,Important for hormonal balance,Reflects inflammation control,Low levels may increase inflammatory response,High levels beneficial,Links to skin and hormones,Support anti-inflammatory pathways
Essential fatty acids,Arachidonic acid,Arachidonic Acid,Involved in inflammatory signalling,Important for immune response,Reflects inflammatory activity,Low levels may impair immune signalling,High levels may increase inflammation,Links to immune and inflammation,Balance inflammatory response
Skin function,Skin Collagen Index,Collagen,Reflects structural protein integrity of the skin,Important for elasticity and repair,Indicates tissue resilience and ageing patterns,Reduced collagen may indicate ageing or nutrient deficiency,High levels uncommon,Links to vitamin C and protein status,Support collagen synthesis
Skin function,Skin Elasticity Index,Elasticity,Measures skin flexibility and resilience,Indicator of connective tissue health,Reflects hydration and structural integrity,Reduced elasticity may indicate ageing or nutrient deficiency,High levels uncommon,Links to collagen and hydration,Support hydration and nutrients
Skin function,Skin Moisture Index,Skin Hydration,Reflects hydration level of skin tissue,Important for barrier function,Indicates fluid balance and skin health,Low levels may indicate dehydration,High levels may indicate barrier dysfunction or retention,Links to kidney and hydration status,Improve hydration
Skin function,Skin Grease Index,Skin Oil,Measures sebum production,Linked to hormonal balance and skin condition,Reflects lipid metabolism and skin activity,Low levels may indicate dryness,High levels may indicate hormonal imbalance or inflammation,Links to endocrine and lipid metabolism,Balance hormones
Skin function,Skin Immunity Index,Skin Immunity,Represents immune activity in skin tissue,Important for barrier defence,Reflects inflammatory and immune responses,Low levels may reduce defence capacity,High levels may indicate inflammation or sensitivity,Links to immune and allergy systems,Reduce inflammation
Skin function,Skin Melanin Index,Pigmentation,Indicates pigmentation and melanin activity,Linked to UV exposure and hormonal factors,Reflects protective adaptation or imbalance,Low levels may indicate reduced protection,High levels may indicate hormonal or inflammatory influence,Links to endocrine and skin health,Support skin balance
Skin function,Skin Free Radical Index,Oxidative Stress,Suggests level of oxidative stress in skin,Key driver of ageing and inflammation,Reflects antioxidant capacity,Low levels indicate good antioxidant status,High levels indicate oxidative stress burden,Links to vitamin C and E,Increase antioxidants
Immune system,Immunoglobulin index,Immune Activity,Reflects antibody activity and immune response,Central to immune defence,Indicates immune system activation,Low levels may indicate weak immune response,High levels may indicate chronic activation,Links to gut and inflammation,Support immune balance
Immune system,Lymph node Index,Lymphatic Function,Reflects lymphatic system activity,Important for detox and immune surveillance,Indicates immune drainage capacity,Low levels may suggest reduced immune activity,High levels may indicate immune activation,Links to detox pathways,Support lymphatic flow
Immune system,Bone marrow Index,Bone Marrow,Indicates immune cell production,Essential for immunity and repair,Reflects immune regeneration capacity,Low levels may impair immune response,High levels may indicate activation,Links to immune and blood systems,Support regeneration
Immune system,Spleen index,Spleen Function,Represents spleen immune activity,Important for filtering blood and immunity,Reflects immune system coordination,Low levels may reduce immune filtering,High levels may indicate activation,Links to immune and circulation,Support immune resilience
Immune system,Gastrointestinal immune Index,Gut Immunity,Reflects immune activity in digestive tract,Major component of immune system,Indicates gut-immune interaction,Low levels may impair gut defence,High levels may indicate inflammation,Links to microbiome and digestion,Support gut health
Allergy-related indicators,Hair dye allergy index,Chemical Sensitivity,Indicates sensitivity to chemical exposures,Reflects detox and immune burden,Shows reactivity patterns,Low levels indicate low sensitivity,High levels indicate increased reactivity,Links to liver detox and immune system,Reduce chemical exposure
Allergy-related indicators,Smoke allergy index,Smoke Sensitivity,Indicates response to airborne irritants,Reflects respiratory and immune sensitivity,Shows environmental reactivity,Low levels indicate tolerance,High levels indicate sensitivity,Links to lung and immune system,Reduce exposure
Allergy-related indicators,Seafood allergy index,Food Sensitivity,Represents immune response to seafood proteins,Linked to histamine and immune function,Reflects food reactivity,Low levels indicate tolerance,High levels indicate sensitivity,Links to gut and immune system,Adjust diet
Allergy-related indicators,Dust allergy index,Dust Sensitivity,Indicates environmental allergen response,Reflects immune reactivity,Shows exposure burden,Low levels indicate tolerance,High levels indicate sensitivity,Links to immune and lung systems,Reduce allergens
Allergy-related indicators,Chemical products allergy index,Chemical Sensitivity,Represents reactivity to chemicals,Reflects detoxification capacity,Indicates toxic load sensitivity,Low levels indicate tolerance,High levels indicate overload,Links to liver and immune system,Support detox
Heavy metal burden,Lead,Lead,Reflects exposure to environmental toxins,Linked to neurological and metabolic effects,Indicates toxic burden,Low levels indicate minimal exposure,High levels indicate accumulation and toxicity,Links to neurological and kidney systems,Support detox pathways
Heavy metal burden,Mercury,Mercury,Indicates exposure to heavy metals,Impacts nervous system and detox pathways,Reflects toxic load,Low levels indicate minimal exposure,High levels indicate neurotoxic burden,Links to brain and immune system,Support detox and antioxidant systems
Heavy metal burden,Cadmium,Cadmium,Represents toxic metal exposure,Linked to kidney and bone health,Reflects environmental burden,Low levels indicate minimal exposure,High levels indicate accumulation,Links to kidney and bone systems,Support detoxification
Heavy metal burden,Aluminum,Aluminum,Indicates exposure to neurotoxic metals,Linked to neurological function,Reflects accumulation in tissues,Low levels indicate minimal exposure,High levels indicate neurotoxic burden,Links to brain and immune system,Reduce exposure and detox
Heavy metal burden,Arsenic,Arsenic,Represents environmental toxin exposure,Linked to metabolic and cellular damage,Reflects toxic burden,Low levels indicate minimal exposure,High levels indicate toxicity,Links to liver and detox pathways,Support detox
Heavy metal burden,Chromium,Chromium,Trace metal involved in glucose metabolism,Supports insulin sensitivity,Reflects metabolic health,Low levels may impair glucose regulation,High levels may indicate imbalance,Links to metabolic system,Support metabolic balance
system,marker,short_label,clinical_meaning,why_it_matters,functional_significance,low_interpretation,high_interpretation,pattern_links,recommendation_hint
Bone density & structure,Degree of Osteoporosis,Bone Density Loss,Represents reduction in bone mineral density,Important for fracture risk and structural integrity,Reflects long-term mineral balance and hormonal influence,Low levels indicate strong bone density,High levels indicate bone weakening and mineral loss,Links to calcium, vitamin D and endocrine system,Support bone density
Bone density & structure,Bone Mineral Density,BMD,Measures mineral content in bones,Key indicator of skeletal strength,Reflects structural resilience,Low levels indicate weakened bone structure,High levels indicate strong mineralisation,Links to calcium and vitamin D,Support mineral intake
Bone density & structure,Degree of Bone Hyperplasia,Bone Growth,Indicates abnormal bone growth or thickening,Linked to mechanical stress and degeneration,Reflects structural adaptation,Low levels indicate normal structure,High levels may indicate degeneration or stress,Links to inflammation and joint health,Reduce mechanical stress
Inflammatory bone and joint patterns,Rheumatism Coefficient,Joint Inflammation,Represents inflammatory activity in joints,Important for mobility and comfort,Reflects inflammatory burden,Low levels indicate minimal inflammation,High levels indicate inflammatory joint conditions,Links to immune and metabolic systems,Anti-inflammatory support
Inflammatory bone and joint patterns,Degree of Cervical Calcification,Cervical Calcification,Indicates calcification in neck region,Linked to ageing and degeneration,Reflects structural stiffness,Low levels indicate flexibility,High levels indicate stiffness and degeneration,Links to mineral imbalance and inflammation,Support mobility
Inflammatory bone and joint patterns,Bone Hyperplasia Coefficient,Bone Thickening,Reflects abnormal bone thickening,Linked to mechanical stress,Indicates structural adaptation,Low levels indicate normal structure,High levels indicate degenerative changes,Links to joint stress and inflammation,Reduce load and inflammation
Bone growth and repair,Osteocalcin,Bone Formation,Marker of bone-building activity,Important for bone regeneration,Reflects repair processes,Low levels indicate reduced bone formation,High levels indicate active bone turnover,Links to vitamin D and calcium,Support bone repair
Bone growth and repair,Bone alkaline phosphatase,Bone Enzyme,Enzyme involved in bone mineralisation,Supports skeletal development,Reflects bone turnover,Low levels indicate reduced bone activity,High levels indicate active remodelling,Links to bone density and minerals,Support mineralisation
Bone growth and repair,Status of long bone healing,Bone Healing,Indicates healing capacity of long bones,Important for recovery and repair,Reflects regenerative capacity,Low levels indicate slow healing,High levels indicate active repair,Links to nutrients and protein status,Support recovery
General physical resilience,Hypoxia,Oxygen Deficiency,Reflects oxygen availability at tissue level,Critical for energy production,Indicates cellular oxygenation,Low levels indicate efficient oxygen use,High levels indicate oxygen deficiency,Links to lung and cardiovascular systems,Improve oxygenation
General physical resilience,Response Ability,Physical Response,Represents body’s adaptive capacity,Important for resilience and recovery,Reflects systemic vitality,Low levels indicate reduced adaptability,High levels indicate strong responsiveness,Links to endocrine and immune systems,Support resilience
General physical resilience,Mental Power,Mental Energy,Reflects cognitive energy and focus,Important for performance and wellbeing,Indicates neurological resilience,Low levels indicate fatigue or burnout,High levels indicate strong mental capacity,Links to brain and adrenal systems,Support brain health
General physical resilience,Water Shortage,Hydration Status,Indicates hydration level,Important for all physiological processes,Reflects fluid balance,Low levels indicate good hydration,High levels indicate dehydration,Links to kidney and circulation,Increase hydration
General physical resilience,PH,Acid-Base Balance,Represents systemic acid-base status,Important for metabolic processes,Reflects internal balance,Low levels may indicate acidity,High levels may indicate alkalinity imbalance,Links to diet and metabolism,Balance diet
Environmental burden markers,Free Radical,Oxidative Stress,Represents oxidative damage burden,Key driver of ageing and disease,Reflects antioxidant balance,Low levels indicate good antioxidant status,High levels indicate oxidative stress,Links to vitamins and detox pathways,Increase antioxidants
Environmental burden markers,Toxic Pesticide Residue,Pesticide Exposure,Indicates exposure to environmental toxins,Linked to detoxification burden,Reflects toxic load,Low levels indicate minimal exposure,High levels indicate toxic accumulation,Links to liver detox,Support detox pathways
Environmental burden markers,Electromagnetic Radiation,EMF Exposure,Represents exposure to electromagnetic fields,Linked to stress and cellular effects,Reflects environmental burden,Low levels indicate minimal exposure,High levels indicate stress load,Links to nervous system and stress,Reduce exposure
Environmental burden markers,Stimulating Beverage,Stimulant Load,Indicates intake of stimulants like caffeine,Linked to adrenal activity,Reflects lifestyle factors,Low levels indicate low stimulant intake,High levels indicate potential overstimulation,Links to adrenal and nervous system,Reduce stimulants
